youku_name	youku_http1
一马三司令	http:http://v.youku.com/v_show/id_XNDQwMDk1Nzc4MA==.html
谍战深海之惊蛰 DVD版	http://v.youku.com/v_show/id_XNDQxMDA4ODc3Ng==.html
激情的岁月	http:http://v.youku.com/v_show/id_XNDM3MjU1MjEyNA==.html
谍战深海之惊蛰 TV版	http:http://v.youku.com/v_show/id_XNDQwODYyMjAyOA==.html
包罗剧象	http://v.youku.com/v_show/id_XNDQwOTY0Njg1Ng==.html
竹马钢琴师	http://v.youku.com/v_show/id_XNDQwODI5MzExMg==.html
你是我的答案 DVD版	http:http://v.youku.com/v_show/id_XNDM1NTI5MzE4MA==.html
加油吧威基基	http://list.youku.com/show/id_z989402ce825042848b01.html
棒棒的幸福生活	http://v.youku.com/v_show/id_XMzk0MDMzMDA4MA==.html
激荡 TV版	http:http://v.youku.com/v_show/id_XNDM2OTQzNDA5Mg==.html
在远方	http:http://v.youku.com/v_show/id_XNDM2OTUxMzg4OA==.html
空降利刃	http://v.youku.com/v_show/id_XNDM5OTI0MzUwNA==.html
仙侠剑	http://list.youku.com/show/id_z07c787b2080911e48b3f.html
染色砂	http://list.youku.com/show/id_zefef4a92f12146819f81.html
国家孩子	http:http://v.youku.com/v_show/id_XNDM3Njg4NjU4OA==.html
暴风新娘 TV版	http://v.youku.com/v_show/id_XNDM5NDAwOTk1Ng==.html
我是班主任	http:http://v.youku.com/v_show/id_XNDM1NjIyNjQzNg==.html
外交风云	http:http://v.youku.com/v_show/id_XNDM2NzcxNDM0NA==.html
扑通扑通的青春	http://v.youku.com/v_show/id_XNDM3NTE0MDk5Mg==.html
别碰我心底的小柔软	http:http://v.youku.com/v_show/id_XNDM4NjMxNDk4MA==.html
激荡 DVD版	http:http://v.youku.com/v_show/id_XNDM3MTcxMDQ1Mg==.html
暴风新娘	http://list.youku.com/show/id_z0358c1f07d8a11e3b8b7.html
黎明决战	http://list.youku.com/show/id_z5623ec0404eb11e59e2a.html
秘杀名单	http:http://v.youku.com/v_show/id_XMzk0NjY1ODE2.html
漂洋过海来看你	http://list.youku.com/show/id_zefbfbdefbfbd0652efbf.html
打土匪	http://v.youku.com/v_show/id_XNDM4MjA3MjExNg==.html
忍冬艳蔷薇	http://v.youku.com/v_show/id_XNDM4MDc3NTc5Ng==.html
济公传	http://v.youku.com/v_show/id_XNDM4MDY4MjAzMg==.html
家有喜妇	http://v.youku.com/v_show/id_XNDM3Nzc0ODk4OA==.html
别无选择	http://v.youku.com/v_show/id_XNDM3NzU5OTcxMg==.html
科幻Fans	http://v.youku.com/v_show/id_XMzY2MDczOTI5Mg==.html
科幻5分钟	http://v.youku.com/v_show/id_XMjc0MTA2MzQ4OA==.html
戏说影事	http://v.youku.com/v_show/id_XMzk4ODAwNTU3Ng==.html
酷影料	http://v.youku.com/v_show/id_XMzc2MDM2NjU3Ng==.html
靠近我温暖你	http://list.youku.com/show/id_zacebf38c5ae4414aabe7.html
荒野谜情	http://list.youku.com/show/id_zed82aeefbfbdefbfbd08.html
星映话 2019	http://v.youku.com/v_show/id_XMzk5NjU2OTg2OA==.html
全职高手之巅峰荣耀	http:http://v.youku.com/v_show/id_XNDEzNDE3NjcxNg==.html
警局保卫战	http://list.youku.com/show/id_zefbfbdefbfbdde91efbf.html
飞行员呆呆鸟	http://list.youku.com/show/id_zedcd9b43407c4253a769.html
我在温州等你	http://v.youku.com/v_show/id_XNDQwMDMzNTI1Mg==.html
福星高照朱小八	http://list.youku.com/show/id_zfbed192ccc8d4f8d8ed8.html
音乐微剧场	http://v.youku.com/v_show/id_XMzk5NTE4ODU4MA==.html
角色影像志	http://v.youku.com/v_show/id_XMzk4ODAwMjkyNA==.html
罗小黑战记	http:http://v.youku.com/v_show/id_XNDIyNTU0MjQ0MA==.html
格桑花之爱在前行	http://list.youku.com/show/id_zcedf3045d1e24c7a8e56.html
NICO 88	http://list.youku.com/show/id_z5b5de27b671c417380c0.html
票票指北	http://v.youku.com/v_show/id_XMzkzMTMzMTEzNg==.html
海阔天空——《中国机长》官方纪录片	http://v.youku.com/v_show/id_XNDM5ODM0MDcwMA==.html
风吹吧麦浪	http://list.youku.com/show/id_zaeca92985aee4c9aa362.html
战斗天使	http://v.youku.com/v_show/id_XNDM5NDkzMjgwOA==.html
拳语者	http://v.youku.com/v_show/id_XNDM5NDE2MzAwOA==.html
传教士	http://list.youku.com/show/id_zcc062b9e962411de83b1.html
狄仁杰之天神下凡	http://v.youku.com/v_show/id_XNDM5NDI5OTA3Mg==.html
幸福俏冤家	http://list.youku.com/show/id_zeacce18177474c97bfee.html
霍元甲	http://list.youku.com/show/id_zcc08c52a962411de83b1.html
猛鬼校园	http://list.youku.com/show/id_zefaf83a214924c0fb30b.html
负债甜心	http://list.youku.com/show/id_z5f2c7cefbfbdc7b111ef.html
红色谜团	http://list.youku.com/show/id_zdecf3f1ea994405a957f.html
牛仔裤的夏天	http://list.youku.com/show/id_zcc063c7e962411de83b1.html
头号型动派	http://v.youku.com/v_show/id_XNDMzMjQwNzk0MA==.html
遇见天坛 第一季	http:http://v.youku.com/v_show/id_XNDMxNTczNzc4NA==.html
女人帮 2019	http://list.youku.com/show/id_zeadc279940a84ba7acbc.html
蒙面唱将猜猜猜 第四季	http:http://v.youku.com/v_show/id_XNDM5MzI0MDY1Ng==.html
爱情保卫战 2019	http://list.youku.com/show/id_zef9e5c8e2c854c75947b.html
欢乐集结号 2019	http://v.youku.com/v_show/id_XNDQxMDExMzE3Mg==.html
男生女生向前冲 第十一季	http://list.youku.com/show/id_za48954bb47ee420e9fef.html
发现北纬30度 第一季	http://list.youku.com/show/id_z2a61db15102244efa278.html
家政女皇 2019	http://v.youku.com/v_show/id_XNDQxMDEzNDI3Mg==.html
健康大问诊 2019	http://list.youku.com/show/id_z12245d3e64ba49a18ba2.html
时尚中国 2019	http://v.youku.com/v_show/id_XNDQxMDM2ODg4NA==.html
炫动酷地带 2019	http://v.youku.com/v_show/id_XNDQxMDAwNjQwOA==.html
劳动最光荣 2019	http://v.youku.com/v_show/id_XNDQxMDM0NjQwOA==.html
创客中国 2019	http://v.youku.com/v_show/id_XNDQxMDM3MDIyOA==.html
美好时代 2019	http://list.youku.com/show/id_z9d2cf3673fb24a549b0a.html
最炫国剧风 2019	http://list.youku.com/show/id_z01b0be27aeb9474181f0.html
等着我 2019	http://list.youku.com/show/id_z8ebb048778f94c509e23.html
地球之极·侣行 第三季	http:http://v.youku.com/v_show/id_XNDM5ODQzNDYyOA==.html
幸福来敲门 天津卫视 2019	http://list.youku.com/show/id_z7910b3829d4f477e970a.html
欢乐送 2019	http://v.youku.com/v_show/id_XNDQwODY0NjEwNA==.html
有请主角儿 2019	http:http://v.youku.com/v_show/id_XNDAxNzk3NzI3Ng==.html
美丽俏佳人 2019	http:http://v.youku.com/v_show/id_XNDI1MzAyMjM5Mg==.html
剧说你要来 2019	http://v.youku.com/v_show/id_XNDQwNzU3MzIyOA==.html
我们恋爱吧 第一季	http://v.youku.com/v_show/id_XNDQwMjQzMDYzMg==.html
《我和我的祖国》电影幕后纪实	http:http://v.youku.com/v_show/id_XNDM3MTEwNzg4MA==.html
非你莫属 2019	http://list.youku.com/show/id_ze9900a939bff487e9919.html
一站到底 2019	http:http://v.youku.com/v_show/id_XMzk4MDEwNjI5Mg==.html
门当户对 2019	http://v.youku.com/v_show/id_XNDQwNzQ5NDQ1Mg==.html
不可思议时尚家	http:http://v.youku.com/v_show/id_XNDAzNjA5NjE4MA==.html
E!好莱坞娱乐速递	http://v.youku.com/v_show/id_XNDQwMzMwNDM2OA==.html
梦幻书院 第二季	http:http://v.youku.com/v_show/id_XNDM4OTgyNTQ2MA==.html
总裁的替嫁新娘	http://list.youku.com/show/id_z352d677cefbfbd6311ef.html
宝贝你好甜	http://list.youku.com/show/id_z505defbfbd6befbfbd5a.html
美人策	http://list.youku.com/show/id_z693c12efbfbdefbfbd11.html
那年那兔那些事儿 第五季	http://list.youku.com/show/id_z20efbfbdefbfbd7cefbf.html
香蕉喵 不可思议的朋友	http://list.youku.com/show/id_zccfbf14a43504c7b8aa6.html
阿衰 第二季	http:http://v.youku.com/v_show/id_XNDM3ODMzNTQyMA==.html
九藏喵窝 第二季	http:http://v.youku.com/v_show/id_XNDM3NTUwNDYyNA==.html
我被总裁黑上了 第二季	http://list.youku.com/show/id_z07efbfbd6defbfbdddae.html
战鼎	http://list.youku.com/show/id_zefbfbdefbfbdcb8fddac.html
帝少专宠霸道妻 第三季	http:http://v.youku.com/v_show/id_XNDM2NjI0MTQ3Mg==.html
腹黑少爷小甜妻 第二季	http://list.youku.com/show/id_zefbfbd4b4909efbfbd1f.html
宠宠欲动  第一季	http:http://v.youku.com/v_show/id_XNDM2ODU2MjI0NA==.html
不要和直男谈恋爱	http://list.youku.com/show/id_z1defbfbd5a16efbfbd00.html
1st kiss 动态漫画	http://v.youku.com/v_show/id_XNDQwMjA1NjgyNA==.html
爱书的下克上：为了成为图书管理员不择...	http:http://v.youku.com/v_show/id_XNDM2NTU2ODI4MA==.html
放学后桌游俱乐部	http:http://v.youku.com/v_show/id_XNDM2NDkyMTE1Ng==.html
四牌士 第二季	http:http://v.youku.com/v_show/id_XNDM2NzE2NzQ5Ng==.html
机动战士高达模型玩具	http://v.youku.com/v_show/id_XNDM5OTA4MzEyOA==.html
六宫风华	http://list.youku.com/show/id_zefbfbd5defbfbd3fefbf.html
寡人有疾 其名相思 第二季	http://list.youku.com/show/id_z4aefbfbd1650efbfbd4d.html
重生暖婚轻宠妻 第二季	http://list.youku.com/show/id_z561eefbfbd36cfbb11ef.html
怪医乱神 第二季	http:http://v.youku.com/v_show/id_XNDM0ODUzMjk0OA==.html
纯情丫头休想逃	http:http://v.youku.com/v_show/id_XNDM0MjQ2NzAxMg==.html
重生之慕甄 第三季	http://list.youku.com/show/id_z3a75276aefbfbdefbfbd.html
行游记	http://list.youku.com/show/id_z6aefbfbd27efbfbd6111.html
恋爱生死簿 第三季	http://v.youku.com/v_show/id_XNDM4MDQ2MDA5Mg==.html
圣者为王	http://v.youku.com/v_show/id_XNDQwMTkzOTU1Ng==.html
我管漂亮你管帅	http://list.youku.com/show/id_z69ccb1efbfbdefbfbd05.html
霹雳靖玄录下阕 普通话版	http://list.youku.com/show/id_zdbed8ed25b5441c28f09.html
